,rmse,rmse_hattori,p_a,p_i,p_e,p_o,p_ent,p_err
BBJ95-adu,0.1534760012340349,0.13427428789467877,0.715302455228482,0.4288749668475976,0.18570950184397292,0.4088584398814446,0.07744294068488311,0.01816871837654404
D78-1,0.11920017109978294,0.09464603312139748,0.805938742648711,0.39769424063582126,0.17793728511136914,0.15169442385228785,0.050204615236759904,0.006011116446555539
JB84-3,0.15125026958766344,0.13048016782513994,0.6638151217515255,0.38173419544392984,0.156276618175609,0.2899234502638104,0.05873398723873007,0.006364683025524652
JS78-2a,0.132731975086402,0.10623342357902418,0.7001566425891345,0.31442778156747964,0.191619655393339,0.08352285611145219,0.029084771740129856,0.003047730848471395
JS78-2b,0.1695561649289923,0.11936112628113593,0.7306301618828943,0.16897677899428423,0.21742385545912976,0.0,0.01841304230251592,0.0020447799271115876
RNG01,0.09671847275355872,0.08401803562256897,0.73297393847961,0.5192432805440885,0.30672427288891474,0.48525109469099137,0.08276242200984422,0.026380051880553534
rg16,0.19274406433813954,0.16906538279564165,0.3622519726343891,0.27169560073366184,0.2820469013224265,0.21089963300729894,0.23693244036564895,0.07225244104623421
