,rmse,rmse_hattori,p_a,p_i,p_e,p_o,p_ent,p_err
BBJ95-adu,0.15190533490031344,0.13561538513991048,0.6694205272415362,0.44281284824669204,0.2119786375204095,0.3765631196950414,0.0820312194228442,0.026171708636298995
D78-1,0.11527757856083391,0.09854398082600442,0.7541092125009841,0.3911213418816539,0.13884933963046317,0.1331669491401116,0.09516992687169747,0.012428479958387225
JB84-3,0.14711174485946976,0.13263743910981118,0.6353176922025364,0.42336296234712195,0.20169478566759488,0.3058623221693509,0.08906201705768836,0.012110353942411712
JS78-2a,0.12854455037681337,0.11069326979333681,0.6423562118937786,0.30163486395909794,0.204553759423892,0.06913711040837553,0.07968533899396987,0.003512942887514462
JS78-2b,0.15743352439093894,0.13223265537909393,0.6498857886181642,0.2109502888659632,0.16179581039799035,0.0,0.1130601213692534,0.0025094039255688814
RNG01,0.09450074019132161,0.08558775859049673,0.7090768922667271,0.475914260660498,0.3150610657653295,0.43930145053712333,0.1032359926042522,0.03585593123508553
rg16,0.19061266764375595,0.17143065493162526,0.3179770388705387,0.2505749400773214,0.2467780876365707,0.18923803858702806,0.24517597503365257,0.10093184101965157
