"Type","A","I","E","O","N"
"AA1",0.818181818,0.022727273,0,0,0.022727273
"AA2",0.590909091,0.045454545,0.022727273,0.022727273,0.181818182
"AA3",0.568181818,0.25,0,0,0.045454545
"AA4",0.613636364,0.181818182,0.022727273,0,0.045454545
"AI1",0,0.772727273,0.045454545,0.045454545,0
"AI2",0,0.545454545,0.045454545,0.181818182,0.090909091
"AI3",0.022727273,0.772727273,0.022727273,0.045454545,0
"AI4",0,0.659090909,0,0,0.204545455
"IA1",0,0.545454545,0,0.113636364,0.204545455
"IA2",0.022727273,0.386363636,0.045454545,0.204545455,0.204545455
"IA3",0.022727273,0.727272727,0,0.068181818,0.045454545
"IA4",0,0.772727273,0.022727273,0,0.068181818
"AE1",0,0.045454545,0.454545455,0.045454545,0.318181818
"AE2",0,0,0.818181818,0.022727273,0.022727273
"AE3",0,0.022727273,0.613636364,0.068181818,0.159090909
"AE4",0,0.045454545,0.772727273,0.022727273,0.022727273
"EA1",0,0.022727273,0.795454545,0.045454545,0
"EA2",0,0,0.795454545,0.045454545,0.022727273
"EA3",0,0,0.636363636,0.204545455,0.022727273
"EA4",0.022727273,0.045454545,0.454545455,0.045454545,0.295454545
"AO1",0.022727273,0.022727273,0.022727273,0.477272727,0.318181818
"AO2",0,0.068181818,0.045454545,0.636363636,0.113636364
"AO3",0,0.136363636,0,0.568181818,0.159090909
"AO4",0,0.045454545,0.045454545,0.636363636,0.136363636
"OA1",0,0.045454545,0.045454545,0.522727273,0.25
"OA2",0,0.113636364,0.068181818,0.545454545,0.136363636
"OA3",0,0.159090909,0.022727273,0.681818182,0
"OA4",0.022727273,0.113636364,0.045454545,0.431818182,0.25
"II1",0,0.272727273,0.045454545,0.068181818,0.477272727
"II2",0.022727273,0.431818182,0.045454545,0.045454545,0.318181818
"II3",0,0.25,0.045454545,0.022727273,0.545454545
"II4",0,0.340909091,0,0.022727273,0.5
"IE1",0.022727273,0.022727273,0.113636364,0.113636364,0.590909091
"IE2",0,0,0.386363636,0.318181818,0.159090909
"IE3",0,0.022727273,0.318181818,0.181818182,0.340909091
"IE4",0,0,0.272727273,0.295454545,0.295454545
"EI1",0,0.090909091,0.113636364,0.590909091,0.068181818
"EI2",0.022727273,0.022727273,0.136363636,0.5,0.181818182
"EI3",0,0.113636364,0.113636364,0.477272727,0.159090909
"EI4",0,0,0.227272727,0.204545455,0.431818182
"IO1",0.045454545,0,0.022727273,0.340909091,0.454545455
"IO2",0.022727273,0.068181818,0.068181818,0.363636364,0.340909091
"IO3",0,0.159090909,0.022727273,0.295454545,0.386363636
"IO4",0,0.068181818,0.022727273,0.386363636,0.386363636
"OI1",0.045454545,0.068181818,0,0.25,0.5
"OI2",0,0.113636364,0.045454545,0.409090909,0.295454545
"OI3",0.022727273,0.136363636,0.022727273,0.272727273,0.409090909
"OI4",0.045454545,0.068181818,0.022727273,0.227272727,0.5
"EE1",0,0.022727273,0.295454545,0.022727273,0.522727273
"EE2",0.045454545,0.045454545,0.113636364,0.045454545,0.613636364
"EE3",0,0,0.159090909,0,0.704545455
"EE4",0,0.045454545,0.181818182,0,0.636363636
"EO1",0.022727273,0.068181818,0.068181818,0.227272727,0.477272727
"EO2",0,0.136363636,0.045454545,0.136363636,0.545454545
"EO3",0,0,0.068181818,0.409090909,0.386363636
"EO4",0,0.045454545,0.045454545,0.068181818,0.704545455
"OE1",0.022727273,0,0.113636364,0.022727273,0.704545455
"OE2",0,0.090909091,0.045454545,0.227272727,0.5
"OE3",0,0.068181818,0.136363636,0.204545455,0.454545455
"OE4",0,0.227272727,0.090909091,0.045454545,0.5
"OO1",0.022727273,0.113636364,0.022727273,0.181818182,0.522727273
"OO2",0,0.25,0.090909091,0.113636364,0.409090909
"OO3",0.022727273,0.090909091,0,0.181818182,0.568181818
"OO4",0.022727273,0.068181818,0,0.204545455,0.568181818
