"Type","A","I","E","O","N"
"AA1",0.965909090909091,0.0227272727272727,0,0.0113636363636364,0
"AA2",0.181818181818182,0.25,0,0.0568181818181818,0.511363636363636
"AA3",0.363636363636364,0.306818181818182,0,0.0340909090909091,0.295454545454545
"AA4",0.295454545454545,0.409090909090909,0,0.0909090909090909,0.204545454545455
"AI1",0.0340909090909091,0.875,0.0113636363636364,0.0454545454545455,0.0340909090909091
"AI2",0.0340909090909091,0.556818181818182,0,0.136363636363636,0.272727272727273
"IA1",0.0227272727272727,0.715909090909091,0,0.0795454545454545,0.181818181818182
"IA3",0.0113636363636364,0.795454545454545,0,0.125,0.0681818181818182
"AE1",0,0.102272727272727,0.443181818181818,0.102272727272727,0.352272727272727
"AE2",0,0.0227272727272727,0.852272727272727,0.0340909090909091,0.0909090909090909
"EA1",0.0113636363636364,0.0227272727272727,0.829545454545455,0.0454545454545455,0.0909090909090909
"EA3",0.0113636363636364,0.113636363636364,0.329545454545455,0.25,0.295454545454545
